contributor_employer,employer_categories,cleaned_boss,number_jobs,num_donations,total_donations
HOUSING & URBAN DEVELOPMENT,HOUSING & URBAN DEVELOPMENT,HOUSING & URBAN DEVELOPMENT,1,1,30
HOUSING AND URBAN DEVELOPMENT,HOUSING AND URBAN DEVELOPMENT,HOUSING & URBAN DEVELOPMENT,1,1,500
HOUSING AUTHORITY OF BALTIMORE,HOUSING AUTHORITY OF BALTIMORE CITY,HOUSING AUTHORITY OF BALTIMORE,1,1,400
HOUSING AUTHORITYBALTIMORE CITY,HOUSING AUTHORITYBALTIMORE CITY,HOUSING AUTHORITYBALTIMORE CITY,1,1,100
HOUSING INITIATIVE PARTNERSHIP,HOUSING INITIATIVE PARTNERSHIP,HOUSING INITIATIVE PARTNERSHIP,1,1,400
HOWARD COMMUNITY COLLEGE,HOWARD COMMUNITY COLLEGE,HOWARD COMMUNITY COLLEGE,1,1,50
HOWARD COUNTY DPW,HOWARD COUNTY DPW,HOWARD COUNTY DPW,1,1,208.2
HOWARD COUNTY ECONOMIC DEVELOPMENT,HOWARD COUNTY ECONOMIC DEVELOPMENT,HOWARD COUNTY ECONOMIC DEVELOPMENT,1,1,50
HOWARD COUNTY PUBLIC SCHOOL SYSTEM,HOWARD COUNTY,HOWARD COUNTY PUBLIC SCHOOL SYSTEM,1,1,500
HOWARD HUGHES HOLDINGS,HOWARD HUGHES HOLDINGS,HOWARD HUGHES HOLDINGS,1,1,50
HOWARD LAW SCHOOL,HOWARD LAW SCHOOL,HOWARD LAW SCHOOL,1,1,500
HOWARD UNIFORM COMPANY,HOWARD UNIFORM COMPANY,HOWARD UNIFORM COMPANY,1,1,50
HOWARD WOOLLEY GROUP LLC,HOWARD WOOLLEY GROUP LLC,HOWARD WOOLLEY GROUP LLC,1,1,2500
"HOWARD WOOLLEY GROUP, LLC",HOWARD WOOLLEY GROUP LLC,HOWARD WOOLLEY GROUP LLC,1,1,1125
HP INC,HP INC,HP INC,1,1,250
HRINMOTION LLC,HRINMOTION LLC,HRINMOTION LLC,1,1,184
"HRINMOTION, LLC",HRINMOTION LLC,HRINMOTION LLC,1,1,250
HSA STRATEGIES,HSA STRATEGIES,HSA STRATEGIES,1,1,2000
HSK CONSULTANTS,HSK CONSULTANTS,HSK CONSULTANTS,1,1,3300
HSU BUILDERS,HSU BUILDERS,HSU BUILDERS,1,1,72
HUBBLE BISBEE CHRISTIE'S INTERNATIONAL,HUBBLE BISBEE CHRISTIE'S INTERNATIONAL,HUBBLE BISBEE CHRISTIE'S INTERNATIONAL,1,1,250
HUD OLHCHH,HUD OLHCHH,HUD OLHCHH,1,1,275
HUDSON COOK,HUDSON COOK,HUDSON COOK,1,1,10
HUG CONSULTING L.L.C.,HUG CONSULTING L.L.C.,HUG CONSULTING L.L.C.,1,1,1000
HULL STREET ENERGY,HULL STREET ENERGY,HULL STREET ENERGY,1,1,6600
HUMAN RIGHTS CAMPAIGN,HUMAN RIGHTS CAMPAIGN,HUMAN RIGHTS CAMPAIGN,1,1,250
HUMAN RIGHTS WATCH,HUMAN RIGHTS WATCH,HUMAN RIGHTS WATCH,1,1,150
HUMANA,HUMANA,HUMANA,1,1,100
HUNTINGTON INGALLS INDUSTRIES,HUNTINGTON INGALLS INDUSTRIES,HUNTINGTON INGALLS INDUSTRIES,1,1,500
HUNTON & WILLIAMS LLP,HUNTON & WILLIAMS LLP,HUNTON & WILLIAMS LLP,1,1,250
HUNTON ANDREWS KURTH LLP,HUNTON ANDREWS KURTH LLP,HUNTON ANDREWS KURTH LLP,1,1,250
HUSSMAN FOUNDATION,HUSSMAN FOUNDATION,HUSSMAN FOUNDATION,1,1,1000
HUSSMAN STRATEGIC ADVISORS,HUSSMAN STRATEGIC ADVISORS,HUSSMAN STRATEGIC ADVISORS,1,1,1000
HYATT & WEBER,HYATT & WEBER,HYATT & WEBER,1,1,1000
HYDRAULEX GLOBAL,HYDRAULEX GLOBAL,HYDRAULEX GLOBAL,1,1,1500
"HYMAN, PHELPS & MCNAMARA, PC",HYMAN PHELPS & MCNAMARA PC,HYMAN PHELPS & MCNAMARA PC,1,1,200
I A DONOSO & ASSOCIATES LLC,I A DONOSO & ASSOCIATES LLC,I A DONOSO & ASSOCIATES LLC,1,1,225
"I A DONOSO & ASSOCIATES, LLC",I A DONOSO & ASSOCIATES LLC,I A DONOSO & ASSOCIATES LLC,1,1,150
I&B ASSOCIATES INC,I&B ASSOCIATES INC,I&B ASSOCIATES INC,1,1,100
I&B TRANSPORTATION INC,I&B TRANSPORTATION INC,I&B TRANSPORTATION INC,1,1,500
I.B.M.,I.B.M.,I.B.M.,1,1,200
IBM CORPORATION,IBM CORPORATION,IBM CORPORATION,1,1,166.67
ICA GLOBAL,ICA GLOBAL,ICA GLOBAL,1,1,20
ICF INTERNATIONAL INC,ICF INTERNATIONAL INC,ICF INTERNATIONAL INC,1,1,500
IFC,IFC,IFC,1,1,150
IHEARTMEDIA INC,IHEARTMEDIA INC,IHEARTMEDIA INC,1,1,500
ILIFF MEREDITH WILDBERGER & BRENNAN PC,ILIFF MEREDITH WILDBERGER & BRENNAN PC,ILIFF MEREDITH WILDBERGER & BRENNAN PC,1,1,500
IMAGE POWER INC,IMAGE POWER INC,IMAGE POWER INC,1,1,1000
IMAGINATION STAGE INC,IMAGINATION STAGE INC,IMAGINATION STAGE INC,1,1,250
IMARASAT,IMARASAT,IMARASAT,1,1,150
IMARK BUILDERS INC.,IMARK BUILDERS INC.,IMARK BUILDERS INC.,1,1,3000
IMARK GROUP,IMARK GROUP,IMARK GROUP,1,1,874.61
IMF,IMF,IMF,1,1,1000
IMMIGRATION STRATEGIES LLC,IMMIGRATION STRATEGIES LLC,IMMIGRATION STRATEGIES LLC,1,1,180
IMMUNOMIC THERAPEUTICS,IMMUNOMIC THERAPEUTICS,IMMUNOMIC THERAPEUTICS,1,1,1041.02
IMPRESA MANAGEMENT SOLUTIONS,IMPRESA MANAGEMENT SOLUTIONS,IMPRESA MANAGEMENT SOLUTIONS,1,1,250
"IMRE, LLC",IMRE LLC,IMRE LLC,1,1,1500
IMSG,IMSG,IMSG,1,1,35
IMT,IMT,IMT,1,1,250
IN4STRUCTURES MANAGEMENT CONSULTING LT,IN4STRUCTURES MANAGEMENT CONSULTING LT,IN4STRUCTURES MANAGEMENT CONSULTING LT,1,1,500
INCREDITEK INC.,INCREDITEK INC.,INCREDITEK INC.,1,1,3000
INCYTE CORP,INCYTE CORP,INCYTE CORP,1,1,500
INDEPENDENT CAN COMPANY,INDEPENDENT CAN COMPANY,INDEPENDENT CAN COMPANY,1,1,500
INDEPENDENT CARE CO,INDEPENDENT CARE CO,INDEPENDENT CARE CO,1,1,500
INDEPENDENT CONTRACTOR,INDEPENDENT CONTRACTOR,INDEPENDENT CONTRACTOR,1,1,142.52
INDIA PHILANTHROPY ALLIANCE,INDIA PHILANTHROPY ALLIANCE,INDIA PHILANTHROPY ALLIANCE,1,1,400
INDIAN HEALTH SERVICE,INDIAN HEALTH SERVICE,INDIAN HEALTH SERVICE,1,1,318.2
INDIGO RDD,INDIGO RDD,INDIGO RDD,1,1,500
INDUSTRIAL INDICATORS,INDUSTRIAL INDICATORS,INDUSTRIAL INDICATORS,1,1,90
INFORMATION SYSTEMS,INFORMATION SYSTEMS,INFORMATION SYSTEMS,1,1,300
INGRID SAVIGNAC,INGRID SAVIGNAC,INGRID SAVIGNAC,1,1,100
"INLINE, LLC","INLINE, LLC","INLINE, LLC",1,1,250
INNCUVATE CONSULTING LLC,INNCUVATE CONSULTING LLC,INNCUVATE CONSULTING LLC,1,1,1500
INNOVATIVE DECISIONS INC,INNOVATIVE DECISIONS INC,INNOVATIVE DECISIONS INC,1,1,1501
INNOVATIVE DECISIONS INC.,INNOVATIVE DECISIONS INC,INNOVATIVE DECISIONS INC,1,1,4230
INNOVATIVE LIFE SOLUTIONS,INNOVATIVE LIFE SOLUTIONS,INNOVATIVE LIFE SOLUTIONS,1,1,2000
INNOVATIVE SYSTEMS & SOLUTIONS INC,INNOVATIVE SYSTEMS & SOLUTIONS INC,INNOVATIVE SYSTEMS & SOLUTIONS INC,1,1,250
INOPAK,INOPAK,INOPAK,1,1,102.05
INOVA,INOVA,INOVA,1,1,1500
INOVA HEALTH SYSTEMS,INOVA HEALTH SYSTEMS,INOVA HEALTH SYSTEMS,1,1,45
INOVALON INC,INOVALON INC,INOVALON INC,1,1,600
"INOVEX INFORMATION SYSTEMS, INC.","INOVEX INFORMATION SYSTEMS, INC.","INOVEX INFORMATION SYSTEMS, INC.",1,1,265.25
INSTITUTE FOR DEFENSE ANALYSES,INSTITUTE FOR DEFENSE ANALYSES,INSTITUTE FOR DEFENSE ANALYSES,1,1,500
INSTITUTE FOR HUMAN DEVELOPMENT,INSTITUTE FOR HUMAN DEVELOPMENT,INSTITUTE FOR HUMAN DEVELOPMENT,1,1,112
INSTITUTE FOR POLICY STUDIES,INSTITUTE FOR POLICY STUDIES,INSTITUTE FOR POLICY STUDIES,1,1,250
INSTRUCTION PARTNERS,INSTRUCTION PARTNERS,INSTRUCTION PARTNERS,1,1,500
INSURANCE ASSOCIATION INC.,INSURANCE ASSOCIATION INC.,INSURANCE ASSOCIATION INC.,1,1,500
INT; RILE,INT; RILE,INT; RILE,1,1,70
INTEGRITY TITLE,INTEGRITY TITLE,INTEGRITY TITLE,1,1,500
INTEGRITY TITLE & ESCROW,INTEGRITY TITLE,INTEGRITY TITLE,1,1,1000
INTEL CORPORATION,INTEL CORPORATION,INTEL CORPORATION,1,1,2500
INTELLIGENESIS INC,INTELLIGENESIS INC,INTELLIGENESIS INC,1,1,3300
INTELLIGENESIS INC.,INTELLIGENESIS INC,INTELLIGENESIS INC,1,1,7500
INTELLIGENT TAX SOLUTION,INTELLIGENT TAX SOLUTION,INTELLIGENT TAX SOLUTION,1,1,250
INTENSIVE CARE ON-LINE,INTENSIVE CARE ON-LINE,INTENSIVE CARE ON-LINE,1,1,135
INTER CON,INTER CON,INTER CON,1,1,175
INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,1,1,500
INTER-AMERICAN INVESTMENT CORP,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,1,1,1000
INTERACTION,INTERACTION,INTERACTION,1,1,500
INTERACTIVE AI,INTERACTIVE AI,INTERACTIVE AI,1,1,7.5
INTERDIGITAL,INTERDIGITAL,INTERDIGITAL,1,1,1000
INTERFINANCIAL,INTERFINANCIAL,INTERFINANCIAL,1,1,3300
INTERNATIONAL AIDS VACCINE INITIATIVE,INTERNATIONAL AIDS VACCINE INITIATIVE,INTERNATIONAL AIDS VACCINE INITIATIVE,1,1,1000
INTERNATIONAL ASSOCIATION FOR THE STUD,INTERNATIONAL ASSOCIATION FOR THE STUD,INTERNATIONAL ASSOCIATION FOR THE STUD,1,1,100
INTERNATIONAL BUSINESS MACHINES,INTERNATIONAL BUSINESS MACHINES,INTERNATIONAL BUSINESS MACHINES,1,1,130
INTERNATIONAL FERTILIZER DEVELOPMENT,INTERNATIONAL FERTILIZER DEVELOPMENT,INTERNATIONAL FERTILIZER DEVELOPMENT,1,1,250
INTERNATIONAL FERTILIZER DEVELOPMENT C,INTERNATIONAL FERTILIZER DEVELOPMENT C,INTERNATIONAL FERTILIZER DEVELOPMENT,1,1,250
INTERNATIONAL FINANCE CORP,INTERNATIONAL FINANCE CORP,INTERNATIONAL FINANCE CORP,1,1,250
INTERNATIONAL FINANCE CORP.,INTERNATIONAL FINANCE CORP,INTERNATIONAL FINANCE CORP,1,1,500
INTERNATIONAL FOODSERVICE DISTRIBUTORS,INTERNATIONAL FOODSERVICE DISTRIBUTORS,INTERNATIONAL FOODSERVICE DISTRIBUTORS,1,1,500
INTERNATIONAL LEADERSHIP FOUNDATION,INTERNATIONAL LEADERSHIP FOUNDATION,INTERNATIONAL LEADERSHIP FOUNDATION,1,1,2200
INTERNATIONAL SCHOOL BEIJING,INTERNATIONAL SCHOOL BEIJING,INTERNATIONAL SCHOOL BEIJING,1,1,225
INTERNATIONAL SOUND CORP,INTERNATIONAL SOUND CORP,INTERNATIONAL SOUND CORP,1,1,200
INTERNET & TELEVISION ASSOC.,INTERNET & TELEVISION ASSOC.,INTERNET & TELEVISION ASSOC.,1,1,1000
INTERSTATE CORPORATION,INTERSTATE CORPORATION,INTERSTATE CORPORATION,1,1,1041.02
INTERVEST LTD.,INTERVEST LTD.,INTERVEST LTD.,1,1,500
INTL. BUREAU OF FISCAL DOCUMENTATION,INTL. BUREAU OF FISCAL DOCUMENTATION,INTL. BUREAU OF FISCAL DOCUMENTATION,1,1,250
INTRAFI NETWORK LLC,INTRAFI NETWORK LLC,INTRAFI NETWORK LLC,1,1,6600
INTREPID CAPITAL LLC,INTREPID CAPITAL LLC,INTREPID CAPITAL LLC,1,1,1000
INVENERGY,INVENERGY,INVENERGY,1,1,250
INVEST IN OUR FUTURE,INVEST IN OUR FUTURE,INVEST IN OUR FUTURE,1,1,500
INVESTED,INVESTED,INVESTED,1,1,6600
INVITA HEALTHCARE TECHNOLOGIES,INVITA HEALTHCARE TECHNOLOGIES,INVITA HEALTHCARE TECHNOLOGIES,1,1,2.5
INVOTEXIP LLC,INVOTEXIP LLC,INVOTEXIP LLC,1,1,250
IONA SENIOR SERVICES,IONA SENIOR SERVICES,IONA SENIOR SERVICES,1,1,50
IONQ,IONQ,IONQ,1,1,1.7
IPAA,IPAA,IPAA,1,1,1000
IRI,IRI,IRI,1,1,250
IRIS GROUP,IRIS GROUP,IRIS GROUP,1,1,532.75
IRS-TAS,IRS-TAS,IRS-TAS,1,1,125
ISC,ISC,ISC,1,1,275
ISI,ISI,ISI,1,1,-150
ISLAND QUIZINE,ISLAND QUIZINE,ISLAND QUIZINE,1,1,500
ISN CORPORATION,ISN CORPORATION,ISN CORPORATION,1,1,2000
IT,IT,IT,1,1,25
IT PM,IT PM,IT PM,1,1,100
ITI,ITI,ITI,1,1,500
ITI COUNCIL,ITI COUNCIL,ITI COUNCIL,1,1,500
"IVINS, PHILLIPS & BAKER","IVINS, PHILLIPS & BAKER","IVINS, PHILLIPS & BAKER",1,1,1500
IWS LLC,IWS LLC,IWS LLC,1,1,328
IZAAK WALTON LEAGUE OF AMERICA,IZAAK WALTON LEAGUE OF AMERICA,IZAAK WALTON LEAGUE OF AMERICA,1,1,250
J B JENKINS INC,J B JENKINS INC,J B JENKINS INC,1,1,250
J GORDON  CO,J GORDON  CO,J GORDON  CO,1,1,250
J ROGER FINN,J ROGER FINN,J ROGER FINN,1,1,250
J. MARK IWRY,J. MARK IWRY,J. MARK IWRY,1,1,1000
J. STEPHEN SIMMS PC,J. STEPHEN SIMMS PC,J. STEPHEN SIMMS PC,1,1,260.25
J.A. GREEN  COMPANY,J.A. GREEN  COMPANY,J.A. GREEN  COMPANY,1,1,3300
J.B. JENKINS FUNERAL HOME INC,J.B. JENKINS FUNERAL HOME INC,J.B. JENKINS FUNERAL HOME INC,1,1,500
J.C. WEST P.C.,J.C. WEST P.C.,J.C. WEST P.C.,1,1,25
J.L.L.,J.L.L.,J.L.L.,1,1,260.25
JA GREEN,JA GREEN,JA GREEN,1,1,500
JABIL INC,JABIL INC,JABIL INC,1,1,500
JACK RESOURCES LLC,JACK RESOURCES LLC,JACK RESOURCES LLC,1,1,2600
JACKSON,JACKSON,JACKSON,1,1,1000
JACKSON & ASSOCIATES INC,JACKSON & ASSOCIATES INC,JACKSON & ASSOCIATES INC,1,1,200
JACKSON & ASSOCIATES INC.,JACKSON & ASSOCIATES INC,JACKSON & ASSOCIATES INC,1,1,850
"JACKSON & ASSOCIATES, INC",JACKSON & ASSOCIATES INC,JACKSON & ASSOCIATES INC,1,1,650
JACOBS,JACOBS,JACOBS,1,1,583.34
JACOBS SOLUTIONS,JACOBS SOLUTIONS,JACOBS SOLUTIONS,1,1,3800
JAI MEDICAL SYSTEMS,JAI MEDICAL SYSTEMS,JAI MEDICAL SYSTEMS,1,1,500
JAIR LYNCH REAL ESTATE PARTNERS,JAIR LYNCH REAL ESTATE PARTNERS,JAIR LYNCH REAL ESTATE PARTNERS,1,1,200
"JAMES MAGNO CPA, LLC",JAMES MAGNO CPA LLC,JAMES MAGNO CPA LLC,1,1,30
JAMES SAUNDERS,JAMES SAUNDERS,JAMES SAUNDERS,1,1,50
JARRETTSVILLE FAMILY EYECARE,JARRETTSVILLE FAMILY EYECARE,JARRETTSVILLE FAMILY EYECARE,1,1,1000
JAZZ PHARMACEUTICALS PLC,JAZZ PHARMACEUTICALS PLC,JAZZ PHARMACEUTICALS PLC,1,1,350
JB ROTH ASSOCIATES,JB ROTH ASSOCIATES,JB ROTH ASSOCIATES,1,1,250
JCDAWSON GLOBAL SOLUTIONS LLC,JCDAWSON GLOBAL SOLUTIONS LLC,JCDAWSON GLOBAL SOLUTIONS LLC,1,1,250
JCM,JCM,JCM,1,1,250
JD HOWLETTE LAW,JD HOWLETTE LAW,JD HOWLETTE LAW,1,1,250
JEDA TRUCKING INC,JEDA TRUCKING INC,JEDA TRUCKING INC,1,1,3300
JENNER & BLOCK,JENNER & BLOCK,JENNER & BLOCK,1,1,1000
JENNER & BLOCK LLP,JENNER & BLOCK LLP,JENNER & BLOCK,1,1,250
JENNI BICK FINE CUSTOM JOURNALS LLC,JENNI BICK FINE CUSTOM JOURNALS LLC,JENNI BICK FINE CUSTOM JOURNALS LLC,1,1,375
"JENNI BICK FINE CUSTOM JOURNALS, LLC",JENNI BICK FINE CUSTOM JOURNALS LLC,JENNI BICK FINE CUSTOM JOURNALS LLC,1,1,250
JERRYS SIDING  ROOFING INC,JERRYS SIDING  ROOFING INC,JERRYS SIDING  ROOFING INC,1,1,2000
JESSE,JESSE,JESSE,1,1,25
JESUS,JESUS,JESUS,1,1,15
JEZIC & MOYSE,JEZIC & MOYSE,JEZIC & MOYSE,1,1,100
JEZIC& MOYSE,JEZIC & MOYSE,JEZIC & MOYSE,1,1,700
JFK CENTER FOR THE PERFORMING ARTS,JFK CENTER FOR THE PERFORMING ARTS,JFK CENTER FOR THE PERFORMING ARTS,1,1,37.5
JHU APL,JHU APL,JHU/APL,1,1,275
JHU APPLIED PHYSICS LAB,JHU APPLIED PHYSICS LAB,APPLIED PHYSICS LAB.,1,1,1250
JHUAPL,JOHNS HOPKINS,JHU/APL,1,1,583
JHWINNER INC,JHWINNER INC,JHWINNER INC,1,1,208.2
JI MIND INSTITUTE,JI MIND INSTITUTE,JI MIND INSTITUTE,1,1,2000
JI-SOLUTIONS LLC,JI-SOLUTIONS LLC,JI-SOLUTIONS LLC,1,1,500
JJP STRATEGIES LLC,JJP STRATEGIES LLC,JJP STRATEGIES LLC,1,1,1000
JLB CAPITOL CONSULTING,JLB CAPITOL CONSULTING,JLB CAPITOL CONSULTING,1,1,50
JLL,J.L.L.,J.L.L.,1,1,1000
JM CLAYTON,JM CLAYTON,JM CLAYTON,1,1,500
JMD CONSULTING,JMD CONSULTING,JMD CONSULTING,1,1,500
JMS CLOTHING,JMS CLOTHING,JMS CLOTHING,1,1,1000
JOBOT,JOBOT,JOBOT,1,1,500
JOBY AVIATION,JOBY AVIATION,JOBY AVIATION,1,1,500
JOEL SULDAN,JOEL SULDAN,JOEL SULDAN,1,1,250
JOHN F KENNEDY CENTER,JOHN F KENNEDY CENTER,JOHN F KENNEDY CENTER,1,1,250
JOHN L BRIGHAM CPA,JOHN L BRIGHAM CPA,JOHN L BRIGHAM CPA,1,1,300
JOHN S. PANTELIDES AND ASSOCIATES LLC,JOHN S. PANTELIDES AND ASSOCIATES LLC,JOHN S. PANTELIDES AND ASSOCIATES LLC,1,1,1000
"JOHN T CORRIGAN DDS, LLC","JOHN T CORRIGAN DDS, LLC","JOHN T CORRIGAN DDS, LLC",1,1,50
JOHN TRADER,JOHN TRADER,JOHN TRADER,1,1,2500
JOHN'S HOPKINS,JOHNS HOPKINS,JOHN'S HOPKINS,1,1,650
JOHN'S HOPKINS UNIVERSITY,JOHNS HOPKINS,JOHN'S HOPKINS UNIVERSITY,1,1,1500
JOHNS HOPKINS APL,JOHNS HOPKINS,JOHNS HOPKINS APL,1,1,600
JOHNS HOPKINS APPLIED PHYSICS LABS,JOHNS HOPKINS,JOHNS HOPKINS APPLIED PHYSICS LAB,1,1,300
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,JOHNS HOPKINS,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,1,1,290
JOHNS HOPKINS BLOOMBERG SCHOOL OF PUB.,JOHNS HOPKINS,JOHNS HOPKINS BLOOMBERG SCHOOL OF PUB.,1,1,100
JOHNS HOPKINS COMMUNITY PHYSICIANS,JOHNS HOPKINS COMMUNITY PHYSICIANS,JOHNS HOPKINS COMMUNITY PHYSICIANS,1,1,500
JOHNS HOPKINS HEART CARE,JOHNS HOPKINS,JOHNS HOPKINS HEART CARE,1,1,100
JOHNS HOPKINS UNIV,JOHNS HOPKINS,JOHNS HOPKINS UNIV,1,1,500
JOHNS HOPKINS UNIV.,JOHNS HOPKINS,JOHNS HOPKINS UNIV,1,1,2225
JOHNS HOPKINS UNIVERSITY APPLIED PHYS.,JOHNS HOPKINS,JOHNS HOPKINS UNIVERSITY APPLIED PHYS.,1,1,1500
JOHNS HOPKINS UNIVERSITY PRESS,JOHNS HOPKINS,JOHNS HOPKINS UNIVERSITY PRESS,1,1,72.25
JOHNSON COOPER CONSULTING INC,JOHNSON COOPER CONSULTING INC,JOHNSON COOPER CONSULTING INC,1,1,350
JOHNSTON REID & MITCHELL,JOHNSTON REID & MITCHELL,JOHNSTON REID & MITCHELL,1,1,400
JON LEIBOWITZ,JON LEIBOWITZ,JON LEIBOWITZ,1,1,1000
JONATHAN HIATT,JONATHAN HIATT,JONATHAN HIATT,1,1,250
JONES CARS,JONES CARS,JONES CARS,1,1,3000
JONES DAY,JONES DAY,JONES DAY,1,1,1000
JONES JUNCTION,JONES JUNCTION,JONES JUNCTION,1,1,3000
JONES WALKER,JONES WALKER,JONES WALKER,1,1,907.71
JORGENSEN ASSOCIATES,JORGENSEN ASSOCIATES,JORGENSEN ASSOCIATES,1,1,400
JOSEPH FAMILY HOLDINGS,JOSEPH FAMILY HOLDINGS,JOSEPH FAMILY HOLDINGS,1,1,3300
JOSEPH GREENWALD & LAAKE P.A.,JOSEPH GREENWALD & LAAKE P.A.,JOSEPH GREENWALD & LAAKE P.A.,1,1,500
JOSEPH T FAMA INC,JOSEPH T FAMA INC,JOSEPH T FAMA INC,1,1,100
JOVADI,JOVADI,JOVADI,1,1,1000
JPMORGAN CHASE INSTITUTE,JP MORGAN CHASE,JP MORGAN CHASE,1,1,125
JRA & ASSOCIATES CONTRACTING,JRA & ASSOCIATES CONTRACTING,JRA & ASSOCIATES CONTRACTING,1,1,1000
JRM CONSULTANCY,JRM CONSULTANCY,JRM CONSULTANCY,1,1,500
JUBILEE ASSOCIATION OF MARYLAND,JUBILEE ASSOCIATION OF MARYLAND,JUBILEE ASSOCIATION OF MARYLAND,1,1,500
JUST ICE TEA,JUST ICE TEA,JUST ICE TEA,1,1,1650
JUSTICE FOR ALL,JUSTICE FOR ALL,JUSTICE FOR ALL,1,1,325
"K & L GATES, LLP",K&L GATES LLP,K&L GATES LLP,1,1,1000
K STREET CAPITAL,K STREET CAPITAL,K STREET CAPITAL,1,1,2500
K&L GATES LLC,K&L GATES LLC,K&L GATES LLP,1,1,250
"K&L GATES, LLP",K&L GATES LLP,K&L GATES LLP,1,1,250
K. DIXON ARCHITECTURE PLLC,K. DIXON ARCHITECTURE PLLC,K. DIXON ARCHITECTURE PLLC,1,1,100
K. HOVNANIAN HOMES,K. HOVNANIAN HOMES,K. HOVNANIAN HOMES,1,1,3300
K. NEAL INTERNATIONAL TRUCKS INC,K. NEAL INTERNATIONAL TRUCKS INC,K. NEAL INTERNATIONAL TRUCKS INC,1,1,1500
K.B.S.,K.B.S.,K.B.S.,1,1,5300
K3 CORP,K3 CORP,K3 CORP,1,1,500
KAGNEW ASSOCIATES,KAGNEW ASSOCIATES,KAGNEW ASSOCIATES,1,1,500
KAI,KAI,KAI,1,1,5550
KAIDERLAW,KAIDERLAW,KAIDERLAW,1,1,250
KAISER-PERMANENTE,KAISER PERMANENTE,KAISER PERMANENTE,1,1,10
KAIYO CREATIVE CONSULTANT'S,KAIYO CREATIVE CONSULTANT'S,KAIYO CREATIVE CONSULTANT'S,1,1,250
KAJEET INC.,KAJEET INC.,KAJEET INC.,1,1,500
KALAS FUNERAL HOME & CREMATORY,KALAS FUNERAL HOME & CREMATORY,KALAS FUNERAL HOME & CREMATORY,1,1,3300
KAPCO DEFENSE,KAPCO DEFENSE,KAPCO DEFENSE,1,1,4300
KARAVAN TECHNOLOGY,KARAVAN TECHNOLOGY,KARAVAN TECHNOLOGY,1,1,2500
KARDIOS,KARDIOS,KARDIOS,1,1,351
KARIS HASTINGS,KARIS HASTINGS,KARIS HASTINGS,1,1,500
KASOWITZ BENSON TORRES LLP,KASOWITZ BENSON TORRES LLP,KASOWITZ BENSON TORRES LLP,1,1,6600
KATCEF BROTHERS INC.,KATCEF BROTHERS INC.,KATCEF BROTHERS INC.,1,1,1000
KATHERINE RICHARDS,KATHERINE RICHARDS,KATHERINE RICHARDS,1,1,100
KATHERINE'S KEEPERS,KATHERINE'S KEEPERS,KATHERINE'S KEEPERS,1,1,6600
KATHLEEN BLAKE,KATHLEEN BLAKE,KATHLEEN BLAKE,1,1,1500
KATHLEEN IRWIN,KATHLEEN IRWIN,KATHLEEN IRWIN,1,1,200
KATHY DIXON ARCHITECTURE PLLC,KATHY DIXON ARCHITECTURE PLLC,K. DIXON ARCHITECTURE PLLC,1,1,1000
KATTEN MUCHIN ROSENMAN LLP,KATTEN MUCHIN ROSENMAN LLP,KATTEN MUCHIN ROSENMAN LLP,1,1,2000
KATZ BANKS KUMIN LLP,KATZ BANKS KUMIN,KATZ BANKS KUMIN,1,1,3300
KATZ WATSON GROUP,KATZ WATSON GROUP,KATZ WATSON GROUP,1,1,500
KATZEN EYE GROUP,KATZEN EYE GROUP,KATZEN EYE GROUP,1,1,500
KAWIOR AND FELDMAN PC,KAWIOR AND FELDMAN PC,KAWIOR AND FELDMAN PC,1,1,110
"KAYE SCHOLER, LLP","KAYE SCHOLER, LLP","KAYE SCHOLER, LLP",1,1,500
KD WEST LLC,KD WEST LLC,KD WEST LLC,1,1,1000
KDF STRATEGIES,KDF STRATEGIES,KDF STRATEGIES,1,1,250
KELLER WILLIAMS,KELLER WILLIAMS,KELLER WILLIAMS,1,1,500
KELLER WILLIAMS PREFERRED PROPERTIES,KELLER WILLIAMS PREFERRED PROPERTIES,KELLER WILLIAMS PREFERRED PROPERTIES,1,1,500
KELLY & ASSOCIATES,KELLY & ASSOCIATES,KELLY & ASSOCIATES,1,1,3300
KELLY & ASSOCIATES INSURANCE GROUP,KELLY & ASSOCIATES INSURANCE GROUP,KELLY & ASSOCIATES INSURANCE GROUP,1,1,1000
KELLY COLLABORATIVE MEDICINE,KELLY COLLABORATIVE MEDICINE,KELLY COLLABORATIVE MEDICINE,1,1,1050
KELLY FINANCIAL GROUP LLC,KELLY FINANCIAL GROUP LLC,KELLY FINANCIAL GROUP LLC,1,1,1000
KELLY GENERATOR AND EQUIPMENTINC,KELLY GENERATOR AND EQUIPMENTINC,KELLY GENERATOR AND EQUIPMENTINC,1,1,600
KELSON ENERGY,KELSON ENERGY,KELSON ENERGY,1,1,520.51
KEMET HUNT LAW GROUP,KEMET HUNT LAW GROUP,KEMET HUNT LAW GROUP,1,1,250
KENNEALLY AND CO.,KENNEALLY AND CO.,KENNEALLY AND CO.,1,1,260.25
KENSINGTON SALES GROUP,KENSINGTON SALES GROUP,KENSINGTON SALES GROUP,1,1,3435.35
